studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,plantedSeedlotStockDbId,plantedSeedlotStockUniquename,plantedSeedlotCurrentCount,plantedSeedlotCurrentWeightGram,plantedSeedlotBoxName,plantedSeedlotTransactionCount,plantedSeedlotTransactionWeight,plantedSeedlotTransactionDescription,availableGermplasmSeedlotUniquenames,FHB DON content - ppm|CO_321:0001154,FHB grain incidence - %|CO_321:0001155,FHB incidence - %|CO_321:0001149,FHB severity - %|CO_321:0001440,Grain test weight - g/l|CO_321:0001210,Heading time - Julian date (JD)|CO_321:0001233,notes
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96998,16-8048,"IL16-8048,WSC 1148",plot,252665,Adv_Scb_20-plot1011,1,1,1011,,,test,,,,,,,,,,,,3,40,23.28571429,752,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97003,16-8605,IL16-8605,plot,252615,Adv_Scb_20-plot1012,1,1,1012,,,test,,,,,,,,,,,,1,40,40.57142857,748,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97005,16-8737,WSC 1537,plot,252648,Adv_Scb_20-plot1013,1,1,1013,,,test,,,,,,,,,,,,5,60,38,736,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97006,16-8739,,plot,252959,Adv_Scb_20-plot1014,1,1,1014,,,test,,,,,,,,,,,,5,,,732,140,"gb (Operator: jrutkoski, Time: ),  (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97010,16-8834,,plot,252678,Adv_Scb_20-plot1015,1,1,1015,,,test,,,,,,,,,,,,15,20,25.57142857,740,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96632,16-10427,,plot,252874,Adv_Scb_20-plot1016,1,1,1016,,,test,,,,,,,,,,,,1,40,17.14285714,720,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96636,16-11226,,plot,252997,Adv_Scb_20-plot1017,1,1,1017,,,test,,,,,,,,,,,,20,70,94.28571429,716,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96645,16-12770,,plot,252893,Adv_Scb_20-plot1018,1,1,1018,,,test,,,,,,,,,,,,25,60,34,720,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96646,16-12830,,plot,252747,Adv_Scb_20-plot1019,1,1,1019,,,test,,,,,,,,,,,,15,60,58,736,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96691,16-18448,,plot,252700,Adv_Scb_20-plot1020,1,1,1020,,,test,,,,,,,,,,,,50,40,58.71428571,728,140," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96694,16-18648,,plot,252988,Adv_Scb_20-plot1021,1,1,1021,,,test,,,,,,,,,,,,50,85,15.28571429,748,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96699,16-19018,,plot,252586,Adv_Scb_20-plot1022,1,1,1022,,,test,,,,,,,,,,,,30,30,28,728,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96704,16-19346,,plot,252662,Adv_Scb_20-plot1023,1,1,1023,,,test,,,,,,,,,,,,35,70,20.85714286,744,131," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96715,16-20838,,plot,252696,Adv_Scb_20-plot1024,1,1,1024,,,test,,,,,,,,,,,,25,90,74.28571429,736,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96720,16-21764,,plot,252759,Adv_Scb_20-plot1025,1,1,1025,,,test,,,,,,,,,,,,25,80,35.42857143,732,140," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96728,16-22039,IL16-22039,plot,252808,Adv_Scb_20-plot1026,1,1,1026,,,test,,,,,,,,,,,,2,10,23.28571429,764,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96743,16-23348,,plot,252865,Adv_Scb_20-plot1027,1,1,1027,,,test,,,,,,,,,,,,5,80,44.57142857,756,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96747,16-23766,,plot,252757,Adv_Scb_20-plot1028,1,1,1028,,,test,,,,,,,,,,,,10,20,17.14285714,724,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96752,16-23941,"IL16-23941,WSC 2041",plot,252922,Adv_Scb_20-plot1029,1,1,1029,,,test,,,,,,,,,,,,15,,,728,136,"gb (Operator: jrutkoski, Time: ),  (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96756,16-23972,IL16-23972,plot,252818,Adv_Scb_20-plot1030,1,1,1030,,,test,,,,,,,,,,,,1,5,7,732,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96791,16-28753,,plot,252998,Adv_Scb_20-plot1031,1,1,1031,,,test,,,,,,,,,,,,10,45,19.14285714,756,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96793,16-28802,,plot,252912,Adv_Scb_20-plot1032,1,1,1032,,,test,,,,,,,,,,,,50,80,70,708,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96808,16-30848,,plot,252675,Adv_Scb_20-plot1033,1,1,1033,,,test,,,,,,,,,,,,30,80,60,760,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96834,16-32727,,plot,252729,Adv_Scb_20-plot1034,1,1,1034,,,test,,,,,,,,,,,,5,50,39.71428571,716,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96837,16-32772,,plot,252733,Adv_Scb_20-plot1035,1,1,1035,,,test,,,,,,,,,,,,1,30,33.71428571,764,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96844,16-33235,,plot,252708,Adv_Scb_20-plot1036,1,1,1036,,,test,,,,,,,,,,,,15,20,17,748,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96849,16-33368,,plot,252690,Adv_Scb_20-plot1037,1,1,1037,,,test,,,,,,,,,,,,5,10,9,764,140," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96852,16-33550,,plot,252976,Adv_Scb_20-plot1038,1,1,1038,,,test,,,,,,,,,,,,25,,,748,137,"gb (Operator: jrutkoski, Time: ),  (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96869,16-34849,,plot,252812,Adv_Scb_20-plot1039,1,1,1039,,,test,,,,,,,,,,,,15,65,15.14285714,724,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96902,16-36048,IL16-36048,plot,252838,Adv_Scb_20-plot1040,1,1,1040,,,test,,,,,,,,,,,,30,40,28,720,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96906,16-36176,,plot,253010,Adv_Scb_20-plot1041,1,1,1041,,,test,,,,,,,,,,,,20,70,78.57142857,780,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96907,16-36206,IL16-36206,plot,253050,Adv_Scb_20-plot1042,1,1,1042,,,test,,,,,,,,,,,,35,30,17,740,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96920,16-36752,WSC 1852,plot,253001,Adv_Scb_20-plot1043,1,1,1043,,,test,,,,,,,,,,,,40,70,27.57142857,720,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",96929,16-37107,,plot,252727,Adv_Scb_20-plot1044,1,1,1044,,,test,,,,,,,,,,,,5,45,48.14285714,740,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97195,17-2920,,plot,253045,Adv_Scb_20-plot1045,1,1,1045,,,test,,,,,,,,,,,,5,60,35.14285714,768,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97239,17-4326,,plot,252844,Adv_Scb_20-plot1046,1,1,1046,,,test,,,,,,,,,,,,10,50,82.85714286,752,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97250,17-5643,,plot,252925,Adv_Scb_20-plot1047,1,1,1047,,,test,,,,,,,,,,,,65,60,17.14285714,724,141," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97254,17-6412,,plot,252774,Adv_Scb_20-plot1048,1,1,1048,,,test,,,,,,,,,,,,3,40,68.57142857,748,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97258,17-6863,,plot,252697,Adv_Scb_20-plot1049,1,1,1049,,,test,,,,,,,,,,,,15,50,57.14285714,764,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97262,17-7136,,plot,252916,Adv_Scb_20-plot1050,1,1,1050,,,test,,,,,,,,,,,,30,60,20.14285714,760,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97280,17-7976,,plot,252981,Adv_Scb_20-plot1051,1,1,1051,,,test,,,,,,,,,,,,30,40,23.57142857,752,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97281,17-7978,,plot,252569,Adv_Scb_20-plot1052,1,1,1052,,,test,,,,,,,,,,,,35,80,48.14285714,740,135," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97282,17-8004,,plot,253017,Adv_Scb_20-plot1053,1,1,1053,,,test,,,,,,,,,,,,15,80,29.28571429,756,134," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97286,17-8036,,plot,252951,Adv_Scb_20-plot1054,1,1,1054,,,test,,,,,,,,,,,,25,60,53.42857143,744,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97289,17-8057,,plot,253056,Adv_Scb_20-plot1055,1,1,1055,,,test,,,,,,,,,,,,25,70,28.85714286,752,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97292,17-8143,,plot,252691,Adv_Scb_20-plot1056,1,1,1056,,,test,,,,,,,,,,,,30,60,41.71428571,732,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97293,17-8152,,plot,252983,Adv_Scb_20-plot1057,1,1,1057,,,test,,,,,,,,,,,,10,40,84.42857143,748,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97298,17-8620,,plot,252924,Adv_Scb_20-plot1058,1,1,1058,,,test,,,,,,,,,,,,35,50,17,736,132," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97299,17-8626,IL17-8626,plot,252867,Adv_Scb_20-plot1059,1,1,1059,,,test,,,,,,,,,,,,20,45,12,760,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97300,17-8628,,plot,253039,Adv_Scb_20-plot1060,1,1,1060,,,test,,,,,,,,,,,,10,70,20.14285714,760,133," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97301,17-8636,,plot,252836,Adv_Scb_20-plot1061,1,1,1061,,,test,,,,,,,,,,,,25,20,11,728,130," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97302,17-8643,,plot,252963,Adv_Scb_20-plot1062,1,1,1062,,,test,,,,,,,,,,,,20,65,25.28571429,732,130," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97304,17-8738,,plot,253073,Adv_Scb_20-plot1063,1,1,1063,,,test,,,,,,,,,,,,50,70,17,740,132," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97305,17-8749,,plot,252920,Adv_Scb_20-plot1064,1,1,1064,,,test,,,,,,,,,,,,1,40,29,724,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97307,17-8824,,plot,252934,Adv_Scb_20-plot1065,1,1,1065,,,test,,,,,,,,,,,,3,20,8,732,141," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97308,17-8831,,plot,252755,Adv_Scb_20-plot1066,1,1,1066,,,test,,,,,,,,,,,,15,30,35.42857143,760,141," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97309,17-8832,,plot,252614,Adv_Scb_20-plot1067,1,1,1067,,,test,,,,,,,,,,,,30,80,74.28571429,736,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97310,17-8930,"IL17-8930,WSC 1030",plot,252807,Adv_Scb_20-plot1068,1,1,1068,,,test,,,,,,,,,,,,35,70,28.85714286,716,129," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97311,17-8948,,plot,252612,Adv_Scb_20-plot1069,1,1,1069,,,test,,,,,,,,,,,,35,50,63.57142857,716,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97313,17-9161,,plot,252639,Adv_Scb_20-plot1070,1,1,1070,,,test,,,,,,,,,,,,25,30,19.14285714,728,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97314,17-9211,,plot,252570,Adv_Scb_20-plot1071,1,1,1071,,,test,,,,,,,,,,,,30,90,90,720,138," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97316,17-9320,IL17-9320,plot,252778,Adv_Scb_20-plot1072,1,1,1072,,,test,,,,,,,,,,,,1,45,30,764,137," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97317,17-9339,,plot,252932,Adv_Scb_20-plot1073,1,1,1073,,,test,,,,,,,,,,,,15,60,50.71428571,740,139," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97318,17-9663,,plot,252654,Adv_Scb_20-plot1074,1,1,1074,,,test,,,,,,,,,,,,10,60,69.57142857,756,136," (Operator: jrutkoski, Time: )"
2020,326,University of Illinois,Wheat breeding program at the University of Illinois,1180,Adv_Scb_20,"Advanced Yield Trial at Urbana, IL [2020]",RCBD,,,,,,,,26,"Urbana, IL",97320,17-9832,,plot,252723,Adv_Scb_20-plot1075,1,1,1075,,,test,,,,,,,,,,,,40,95,77.14285714,720,141," (Operator: jrutkoski, Time: )"
