"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","Soil borne mosaic plant response - 0-9 Response Scale|CO_321:0501140","notes"
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240500","18-13852","","plot","301413","SBMV_Urb_21-rep1-18-13852_1134","1","1","1134","34","2","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240503","18-13965","","plot","301398","SBMV_Urb_21-rep1-18-13965_1043","1","1","1043","11","3","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240518","18-14535","IL18-14535","plot","301557","SBMV_Urb_21-rep1-18-14535_1123","1","1","1123","31","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240532","18-15372","","plot","301460","SBMV_Urb_21-rep1-18-15372_1050","1","1","1050","13","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240550","18-16828","","plot","301613","SBMV_Urb_21-rep1-18-16828_1099","1","1","1099","25","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240554","18-17119","","plot","301394","SBMV_Urb_21-rep1-18-17119_1088","1","1","1088","22","4","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240558","18-17905","","plot","301307","SBMV_Urb_21-rep1-18-17905_1104","1","1","1104","26","4","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240572","18-22132","","plot","301498","SBMV_Urb_21-rep1-18-22132_1167","1","1","1167","42","3","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240576","18-22767","","plot","301395","SBMV_Urb_21-rep1-18-22767_1012","1","1","1012","3","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240577","18-22976","","plot","301347","SBMV_Urb_21-rep1-18-22976_1105","1","1","1105","27","1","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240578","18-23224","","plot","301333","SBMV_Urb_21-rep1-18-23224_1133","1","1","1133","34","1","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240579","18-23760","IL18-23760","plot","301384","SBMV_Urb_21-rep1-18-23760_1092","1","1","1092","23","4","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240593","18-26037","","plot","301493","SBMV_Urb_21-rep1-18-26037_1136","1","1","1136","34","4","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240619","18-4910","","plot","301441","SBMV_Urb_21-rep1-18-4910_1116","1","1","1116","29","4","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240626","18-5737","","plot","301532","SBMV_Urb_21-rep1-18-5737_1058","1","1","1058","15","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240627","18-5837","","plot","301287","SBMV_Urb_21-rep1-18-5837_1118","1","1","1118","30","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240630","18-6274","","plot","301410","SBMV_Urb_21-rep1-18-6274_1135","1","1","1135","34","3","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240634","18-6852","IL18-6852","plot","301397","SBMV_Urb_21-rep1-18-6852_1106","1","1","1106","27","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240650","18-7928","","plot","301310","SBMV_Urb_21-rep1-18-7928_1064","1","1","1064","16","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240651","18-7943","","plot","301487","SBMV_Urb_21-rep1-18-7943_1056","1","1","1056","14","4","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240663","18-842","","plot","301528","SBMV_Urb_21-rep1-18-842_1073","1","1","1073","19","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240676","18-9724","","plot","301612","SBMV_Urb_21-rep1-18-9724_1108","1","1","1108","27","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","240679","18MSFRS-18","IL18MSFRS-18,WSC 3318","plot","301472","SBMV_Urb_21-rep1-18MSFRS-18_1035","1","1","1035","9","3","test","","","","","","","","","","","8",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239200","19-10123","19-10123,IL19-10123","plot","301599","SBMV_Urb_21-rep1-19-10123_1130","1","1","1130","33","2","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239201","19-10136","","plot","301593","SBMV_Urb_21-rep1-19-10136_1143","1","1","1143","36","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239203","19-10142","","plot","301622","SBMV_Urb_21-rep1-19-10142_1112","1","1","1112","28","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239205","19-10151","","plot","301526","SBMV_Urb_21-rep1-19-10151_1109","1","1","1109","28","1","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239206","19-10168","","plot","301327","SBMV_Urb_21-rep1-19-10168_1151","1","1","1151","38","3","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239208","19-10173","","plot","301337","SBMV_Urb_21-rep1-19-10173_1148","1","1","1148","37","4","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239211","19-10236","","plot","301502","SBMV_Urb_21-rep1-19-10236_1089","1","1","1089","23","1","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239238","19-11163","","plot","301402","SBMV_Urb_21-rep1-19-11163_1071","1","1","1071","18","3","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239285","19-11770","","plot","301595","SBMV_Urb_21-rep1-19-11770_1163","1","1","1163","41","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239286","19-11773","","plot","301483","SBMV_Urb_21-rep1-19-11773_1149","1","1","1149","38","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239307","19-12420","","plot","301581","SBMV_Urb_21-rep1-19-12420_1103","1","1","1103","26","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239316","19-12615","","plot","301508","SBMV_Urb_21-rep1-19-12615_1016","1","1","1016","4","4","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239320","19-12659","","plot","301400","SBMV_Urb_21-rep1-19-12659_1169","1","1","1169","43","1","test","","","","","","","","","","","5",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239334","19-12830","","plot","301454","SBMV_Urb_21-rep1-19-12830_1038","1","1","1038","10","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239339","19-12849","","plot","301554","SBMV_Urb_21-rep1-19-12849_1162","1","1","1162","41","2","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239345","19-12926","IL19-12926","plot","301360","SBMV_Urb_21-rep1-19-12926_1049","1","1","1049","13","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239352","19-13048","","plot","301444","SBMV_Urb_21-rep1-19-13048_1004","1","1","1004","1","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239388","19-13414","IL19-13414","plot","301453","SBMV_Urb_21-rep1-19-13414_1142","1","1","1142","36","2","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239393","19-13434","","plot","301536","SBMV_Urb_21-rep1-19-13434_1063","1","1","1063","16","3","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239394","19-13447","","plot","301610","SBMV_Urb_21-rep1-19-13447_1137","1","1","1137","35","1","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239396","19-13451","IL19-13451","plot","301407","SBMV_Urb_21-rep1-19-13451_1062","1","1","1062","16","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239407","19-13706","","plot","301491","SBMV_Urb_21-rep1-19-13706_1101","1","1","1101","26","1","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239408","19-13707","","plot","301286","SBMV_Urb_21-rep1-19-13707_1139","1","1","1139","35","3","test","","","","","","","","","","","2",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239409","19-13713","IL19-13713","plot","301485","SBMV_Urb_21-rep1-19-13713_1093","1","1","1093","24","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239414","19-13748","","plot","301527","SBMV_Urb_21-rep1-19-13748_1171","1","1","1171","43","3","test","","","","","","","","","","","3",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239415","19-13752","","plot","301605","SBMV_Urb_21-rep1-19-13752_1084","1","1","1084","21","4","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239416","19-13778","","plot","301549","SBMV_Urb_21-rep1-19-13778_1040","1","1","1040","10","4","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239424","19-13936","","plot","301304","SBMV_Urb_21-rep1-19-13936_1080","1","1","1080","20","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239425","19-13942","","plot","301571","SBMV_Urb_21-rep1-19-13942_1044","1","1","1044","11","4","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239431","19-13961","","plot","301365","SBMV_Urb_21-rep1-19-13961_1026","1","1","1026","7","2","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239435","19-13978","IL19-13978","plot","301403","SBMV_Urb_21-rep1-19-13978_1153","1","1","1153","39","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239460","19-14605","","plot","301386","SBMV_Urb_21-rep1-19-14605_1165","1","1","1165","42","1","test","","","","","","","","","","","5",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239462","19-14617","IL19-14617","plot","301353","SBMV_Urb_21-rep1-19-14617_1031","1","1","1031","8","3","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239475","19-14845","IL19-14845","plot","301431","SBMV_Urb_21-rep1-19-14845_1068","1","1","1068","17","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239476","19-14856","","plot","301387","SBMV_Urb_21-rep1-19-14856_1166","1","1","1166","42","2","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239479","19-14933","19-14933,IL19-14933","plot","301461","SBMV_Urb_21-rep1-19-14933_1066","1","1","1066","17","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239485","19-15017","IL19-15017","plot","301573","SBMV_Urb_21-rep1-19-15017_1013","1","1","1013","4","1","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239501","19-15327","","plot","301362","SBMV_Urb_21-rep1-19-15327_1121","1","1","1121","31","1","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239502","19-15330","","plot","301420","SBMV_Urb_21-rep1-19-15330_1005","1","1","1005","2","1","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239537","19-16129","","plot","301564","SBMV_Urb_21-rep1-19-16129_1111","1","1","1111","28","3","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239538","19-16136","","plot","301380","SBMV_Urb_21-rep1-19-16136_1086","1","1","1086","22","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239540","19-16142","","plot","301316","SBMV_Urb_21-rep1-19-16142_1114","1","1","1114","29","2","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239542","19-16152","","plot","301457","SBMV_Urb_21-rep1-19-16152_1128","1","1","1128","32","4","test","","","","","","","","","","","1",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239543","19-16176","IL19-16176","plot","301389","SBMV_Urb_21-rep1-19-16176_1119","1","1","1119","30","3","test","","","","","","","","","","","0",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1335","IL_SBMV_22","Evaluation of resistance to Soilbourne Mosaic Virus resistance","RCBD","","","","no","no","2021-October-05","","26","Urbana, IL","239554","19-16279","","plot","301515","SBMV_Urb_21-rep1-19-16279_1094","1","1","1094","24","2","test","","","","","","","","","","","2",""
